username,accDesc,location,following,followers,totaltweets,usercreated,tweetcreated,retweetcount,favoritecount,text,tweetsource,hashtags
PrimalPolitical,"Post-Liberal, Pro-Brexit, Primitive",,1060.0,7332.0,7483.0,2020-01-03 14:26:06,2020-11-04 10:36:54,0.0,0.0,"Righ now I'd say Trump is better positioned, just. That all changes if he loses WI 

He'd still have a very good chance of winning though",Twitter for Android,[]
lukejohnpearce,,,27.0,62.0,40.0,2017-07-12 03:35:23,2020-11-04 10:36:53,0.0,0.0,trump after pretending he cares about the working class of america #Elections2020 https://t.co/B5JXCVEkif,Twitter for iPhone,"[{'text': 'Elections2020', 'indices': [67, 81]}]"
TheTylerWest,@Twitch Partner,,1020.0,2786.0,21118.0,2011-04-03 15:58:18,2020-11-04 10:36:53,0.0,0.0,"@MarkSDeRosa @jkauffman23 @_waleedshahid @AJentleson I hate Trump, but I assure you if we dumped him and Bush in Iraq right now, Bush's head would be on a pike. The same goes for Clinton in Eastern Europe. 45 is unpopular with loyal Dem voters. Sounds crazy, but regular people feel bad for him/think he's cool/praise his economy/etc",Twitter for Android,[]
FionnaYvette,Fia. 31. #Arianator  #LoveYou3000 #BookWorm #AlwaysAndForever #SingleReadyToMingle #BackOnTheMarket #Single✊🏽✊🏾✊🏿,"Sydney, Australia",3443.0,1231.0,77564.0,2009-04-24 15:47:21,2020-11-04 10:36:53,0.0,0.0,@denzelcanvas @JackieWarner13 Still better than Trump 😂.....,Twitter for iPhone,[]
tonyparas1,live your life and forget your age - norman vincent peale,"Castro Valley, Ca",696.0,26.0,2167.0,2011-08-28 01:39:49,2020-11-04 10:36:53,0.0,0.0,@kaitlancollins Am I wrong to say the residents of Wisconsin and Kentucky scare the f*ck out of me!?!  Trump???? McConnell????,Twitter Web App,[]
thatshepii,,,177.0,62.0,2309.0,2019-11-04 05:06:17,2020-11-04 10:36:53,0.0,0.0,Oh man that Jordan Klepper vs Trump supporters is comedy gold 😭😭😭,Twitter for iPhone,[]
VALLEYG1RL,,Oregon ,169.0,20.0,1169.0,2010-04-24 01:28:25,2020-11-04 10:36:53,0.0,0.0,"@TiarePalau @ProudSocialist @ProjectLincoln Omfg when is the right time? In the primary it was bulling, in the general it helped Trump. Now the votes are already cast and it's still not a good time. Lol this is y we loose! 
The democratic r fuckin baby's! Pour salt on this shit immediately these loosers need 2 learn https://t.co/bgN4OuPBbU",Twitter for Android,[]
MidtownMMA,Just Playin’ | Oregon Attorney | Combat Sports Promoter | Strip Club DJ | Te/Amo | USA 🇺🇸❤️💯 #OneLove 💚💛 #Sco🐣🐥🦆 https://t.co/Oy5qZdD3z3,"Eugene, OR",783.0,542.0,12280.0,2009-10-17 20:04:53,2020-11-04 10:36:53,0.0,0.0,@TheFlockIsHot I think Trump will win but we'll see..,Twitter Web App,[]
Gingerr59818681,"Angry grandmother, want all children stolen by social services, returned. SOCIAL WORKERS are dangerous  and hateful. Belong behind bars.",HOVE Sussex,2487.0,791.0,11976.0,2019-12-10 10:33:32,2020-11-04 10:36:53,0.0,0.0,Clearly an attempted coup. Lets call for a recount. Gett the military in for job. After Trump is reelected. Start sacking your civil servants,Twitter Web App,[]
DrumpfB,The words of our president that they wouldn't let me share..,,16.0,2.0,485.0,2020-09-04 08:23:13,2020-11-04 10:36:53,0.0,0.0,"What is the practical significance of these terms?
-Trump, April 05, 2004 
 #maga #trump #usa #trump2020 #republican",,"[{'text': 'maga', 'indices': [76, 81]}, {'text': 'trump', 'indices': [82, 88]}, {'text': 'usa', 'indices': [89, 93]}, {'text': 'trump2020', 'indices': [94, 104]}, {'text': 'republican', 'indices': [105, 116]}]"
LeeKessler18,Mother of 4 legged 11 year old and a lover of democracy.,"Florida, USA",233.0,221.0,6011.0,2018-10-26 11:40:11,2020-11-04 10:36:53,0.0,0.0,@kylegriffin1 Somebody please explain to Trump the difference between stripper poles and voting polls.,Twitter Web App,[]
tech_faq,"Technology, Science, Futurism, Security, Privacy, Free Speech, Education. Anti-racist. Impatient with stupid people. #AllLivesMatter",,12145.0,44687.0,13015.0,2011-06-24 09:46:16,2020-11-04 10:36:53,0.0,0.0,"@innanetmatt @jonst0kes And... the wheel has turned again... now Wisconsin is for Biden but so narrowly that Trump may be whining for a recount.

We don't know now whether we'll be led to our dooms by the Orange Menace or the Trojan Corpse.",Twitter Web App,[]
JoeShutter,Angry Panda,"East Coast, USA",395.0,78.0,35676.0,2012-07-07 07:54:38,2020-11-04 10:36:53,0.0,0.0,"The constant false claims are not the signs of a winner @GOP #TreasonParty

Election 2020 live updates and results: Trump falsely asserts election fraud, claims a victory https://t.co/Fr8E5ZyQ0d",Twitter Web App,"[{'text': 'TreasonParty', 'indices': [61, 74]}]"
MibIH,"Tall, dark and ugly, Autistic, Anime, movie and WWE reviewer, amateur filmmaker, pug owner, classic rocker, Anti-Tory!  Instagram: lee_in_black","Orpington, Kent, UK",1202.0,1830.0,72416.0,2012-04-22 12:03:36,2020-11-04 10:36:53,0.0,0.0,"Trump says as far as he is concerned, he has already won. Surely he HAS to lose now? Just for the karma?",Twitter Web App,[]
PieDisliker,"Streamer, YouTuber, CakeLiker

26. He/Him. https://t.co/N41yQQdiAT

Avatar from @CrownePrints, Banner Art from @rinachan003",Upstate NY,207.0,865.0,10377.0,2013-04-05 02:27:44,2020-11-04 10:36:53,0.0,0.0,I need to make a correction. After looking carefully at his wording Trump didn't mention to stop the counting directly. However it seemed very much implied. We'll have to see if Trump clarifies what he meant.,Twitter for Android,[]
TheTrumpIsALie,"Joined because America somehow elected a stupider, real life version of Mr. Burns and I felt like pointing that out.",,0.0,0.0,447.0,2020-01-08 09:00:24,2020-11-04 10:36:53,0.0,0.0,"@teneren @TeamTrump @realDonaldTrump Imagine if someone had asked Obama the same question and his answer was ""we'll have to see.""

Does it seem fair to rush ACB through her appointment a month before elections to pack a supermajority when democrats waited NINE MONTHS to appoint a justice last time this happened?",Twitter Web App,[]
augustayc,Professionally known as Crab Neither.,"Baltimore, MD",338.0,209.0,4684.0,2020-03-02 04:23:50,2020-11-04 10:36:53,0.0,0.0,"@Blackamazon @digitalsista In exit polls - when you consider the massive Dem preference for vote by mail, it makes sense that the in person voters would be disproportionately Trump supporting. (Not a full-throated defense of us, but that is not a final number.)",Twitter Web App,[]
Syida101,"25 | MD, UPM | 🇲🇾",Penang ,491.0,490.0,56264.0,2010-10-13 13:34:29,2020-11-04 10:36:53,0.0,0.0,"UMNO/Bersatu/PAS supporter rooting for biden/harris 🤭🙊

who’s gonna tell them that muhyiddin is worse than Trump",Twitter for iPhone,[]
