Countries and areas,Reference year(s),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,2004-2014,2.8,2.9,2.9,3.0,2.9,3.1,3.1,3.1,3.0,3.4,3.6
Cambodia,2004-2014,10.0,8.9,8.8,9.0,8.3,8.2,8.0,,6.0,6.0,
Indonesia ,2004-2014,7.2,7.3,7.2,6.3,6.3,6.3,7.0,,6.3,6.2,
Lao's PDR,2004-2014,12.2,9.8,9.4,9.1,8.7,8.4,6.3,,7.4,7.0,
Malaysia ,2004-2014,4.5,4.5,4.5,4.4,4.5,4.5,4.7,4.6,4.7,4.7,
Myanmar,2004-2014,11.2,9.5,9.4,9.7,9.8,9.6,8.6,,8.5,8.5,
Philippines,2004-2014,5.1,5.1,5.6,4.8,4.8,4.8,5.8,,6.0,6.0,
Singapore,2004-2014,4.4,4.4,4.3,4.5,4.4,4.3,4.4,4.5,4.5,4.6,4.7
Thailand,2004-2014,6.8,6.8,7.9,8.5,9.0,6.2,6.5,6.5,6.5,7.7,
Viet Nam,2004-2014,5.4,5.3,5.3,5.3,5.3,6.8,6.8,6.9,7.0,7.1,6.9
,,,,,,,,,,,,
,,,,,,,,,,,,
