Countries and areas,Reference year(s),2004DPT,2005DPT,2006DPT,2007DPT,2008DPT,2009DPT,2010DPT,2011DPT,2012DPT,2013DPT,2014DPT,Source 
Brunei Darussalam,2004-2014,91.7,99.7,100,99,99,99,95.4,97,95.4,99.6,99,ASEAN Secretariat
Cambodia,2004-2014,,,,82,82,94,92,94,95,92,97,ASEAN Secretariat
Indonesia ,2004-2014,86.5,84.6,87.1,86.4,86.1,89.1,89.8,89.1,90,90.3,90.7,ASEAN Secretariat
Lao's PDR,2004-2014,,,,50,50,57,74,78,79,89,,ASEAN Secretariat
Malaysia ,2004-2014,94.2,95.3,96.4,96,96,95,94,99,99,97,93,ASEAN Secretariat
Myanmar,2004-2014,82,73,82,86,85,90,90,83.5,85,90,92,ASEAN Secretariat
Philippines,2004-2014,,,,87,87,87,87,81,86,98,86,ASEAN Secretariat
Singapore,2004-2014,,,,96,96,97,97,96,96,96,96,ASEAN Secretariat
Thailand,2004-2014,,,,98,98,99,99,99,99,100,100,ASEAN Secretariat
Viet Nam,2004-2014,,,,92,92,96,93,95,97,83,95,ASEAN Secretariat
