Countries and areas,Reference year(s),2004Measles,2005Measles,2006Measles,2007Measles,2008Measles,2009Measles,2010Measles,2011Measles,2012Measles,2013Measles,2014Measles,Source 
Brunei Darussalam,2004-2014,99,97.4,100,96.8,97,99,94.4,91,98.6,96,97,ASEAN Secretariat
Cambodia,2004-2014,80,76.9,78,79,80,81,81.9,93,93,93,94,ASEAN Secretariat
Indonesia ,2004-2014,77.2,72.5,78.2,75.9,75.5,77.2,77.7,76.9,78,77.9,78.7,ASEAN Secretariat
Lao's PDR,2004-2014,36,69,48,40,40,59,78,69,72,82,87,ASEAN Secretariat
Malaysia ,2004-2014,71.2,,65.4,87.5,94.3,96.9,96.1,95.2,95.5,95.3,94,ASEAN Secretariat
Myanmar,2004-2014,78,72,78,81,82,87,88,84.9,84,86,88,ASEAN Secretariat
Philippines,2004-2014,80,80,92,92,92,88,88,79,85,90,88,ASEAN Secretariat
Singapore,2004-2014,94,96,93,95,95,95,95,95,95,95,94,ASEAN Secretariat
Thailand,2004-2014,96,96,96,96,96,98,98,98,98,98,99,ASEAN Secretariat
Viet Nam,2004-2014,97,95,96.4,82.8,95.6,97,97.8,96.5,96.4,97.7,86.2,ASEAN Secretariat
