Countries and areas,Reference year(s),2004M,2004M,2005M,2005F,2006M,2006F,2007M,2007F,2008M,2008F,2009M,2009F,2010M,2010F,2011M,2011F,2012M,2012F,2013M,2013F,2014M,2014F,Source 
Brunei Darussalam,2004-2014,74.6,77.5,74.2,77.3,75.9,77.5,75.2,77.8,76.6,79.8,77.1,77.9,76.5,77.8,75.6,78.5,76.3,79.9,75.7,78.4,75.9,78.8,ASEAN Secretariat
Cambodia,2004-2014,57.2,63.4,57.9,64.1,58.6,64.9,59.3,65.6,60,66.3,60.7,67,61.4,67.7,62,68.4,62.7,69.1,63.4,69.8,,,ASEAN Secretariat
Indonesia ,2004-2014,66.7,70.7,67.1,71.1,68.3,72.2,68.4,72.4,68.6,72.6,68.8,72.6,69,72.9,67.7,71.1,67.7,71.1,,,,,ASEAN Secretariat
Lao's PDR,2004-2014,,,59,63,63.9,66.4,64.4,67,64.9,67.5,65.4,68,62.7,66.7,66.5,68.9,,,,,,,ASEAN Secretariat
Malaysia ,2004-2014,,,71.4,76.2,71.5,76.3,71.5,76.3,71.6,76.4,71.6,76.5,71.9,77.1,72.1,77.1,72.3,77.2,72.7,77.4,,,ASEAN Secretariat
Myanmar,2004-2014,62.1,65.5,62.3,65.8,62.7,66.4,63.6,68.1,64.2,68.3,64.5,68.4,64.6,68.6,64.9,68.7,66.6,69.5,67.5,69.9,,,ASEAN Secretariat
Philippines,2004-2014,64.1,70.1,64.1,70.1,66.1,71.6,66.1,71.6,66.1,71.6,66.1,71.6,66.1,71.6,67.6,73.1,65.2,,65.4,72.2,,,ASEAN Secretariat
Singapore,2004-2014,77.1,82,77.6,82.5,77.8,82.6,78.1,82.9,78.4,83.3,78.9,83.7,79.2,84,79.5,84.1,79.8,84.3,80.1,84.5,80.5,84.9,ASEAN Secretariat
Thailand,2004-2014,67.9,75,69.7,76.8,69.9,77.6,70.1,77,70.3,77.1,70.4,77.3,70.6,77.4,70.8,77.5,70.9,77.6,71.1,77.8,,,ASEAN Secretariat
Viet Nam,2004-2014,69.4,74.9,69.5,75,70.2,75.6,70.2,75.6,70.6,76,70.2,75.6,70.3,75.7,70.4,75.8,70.5,75.8,70.5,75.9,70.6,76,ASEAN Secretariat
