Countries and areas,Reference year(s),2004Malaria,2005Malaria,2006Malaria,2007Malaria,2008Malaria,2009Malaria,2010Malaria,2011Malaria,2012Malaria,2013Malaria,2014Malaria,Source 
Brunei Darussalam,2004-2014,,,,,,,,,,,,ASEAN Secretariat
Cambodia,2004-2014,800,600,720,,,,407,,,,,ASEAN Secretariat
Indonesia ,2004-2014,,100,,,,,196,,,,39.8,ASEAN Secretariat
Lao's PDR,2004-2014,,,,,,,,,,,,ASEAN Secretariat
Malaysia ,2004-2014,24.1,21,19.7,20.1,26.8,,25.1,23.5,,,,ASEAN Secretariat
Myanmar,2004-2014,14,10.8,10.5,9,11.7,10,11.7,11.7,8.1,6.8,4.1,ASEAN Secretariat
Philippines,2004-2014,,56.1,40.7,41,26.2,21.6,21,9.8,,,,ASEAN Secretariat
Singapore,2004-2014,,3.9,4.1,3.4,3.1,3.4,3.7,2.9,2.7,2.1,1.1,ASEAN Secretariat
Thailand,2004-2014,,45.2,46.3,49.1,45.7,36.6,40.3,33,,,,ASEAN Secretariat
Viet Nam,2004-2014,,99.3,91.6,70.9,60.5,60.9,62,51.6,,,,ASEAN Secretariat
