Countries and areas,Reference year(s),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,2004-2014,,14.4,30.4,34.2,0.0,16.3,15.6,,,27.0,
Cambodia,2004-2014,,472.0,,,,,206.0,,,170.0,
Indonesia ,2004-2014,,268.0,,,,,169.0,,,190.0,
Lao's PDR,2004-2014,,405.0,,,,,280.0,,,220.0,
Malaysia ,2004-2014,,28.0,27.5,29.0,27.3,27.0,26.1,26.2,25.6,29.0,
Myanmar,2004-2014,,250.0,,,,,233.0,,,200.0,
Philippines,2004-2014,,144.0,,,,,129.0,,,120.0,
Singapore,2004-2014,,13.3,10.4,7.6,7.5,0.0,2.6,8.0,2.0,3.0,2.0
Thailand,2004-2014,,,11.7,12.2,11.3,10.8,10.2,8.9,17.6,26.0,
Viet Nam,2004-2014,,80.0,75.1,75.0,76.0,69.0,69.0,,,49.0,
,,,,,,,,,,,,
,,,,,,,,,,,,
