Country,Year,Nursing and midwifery personnel density (per 1000 population)
Brunei Darussalam,2012,8.195
Brunei Darussalam,2011,7.856
Brunei Darussalam,2010,7.391
Brunei Darussalam,2009,5.079
Brunei Darussalam,2008,5.097
Brunei Darussalam,2007,5.114
Brunei Darussalam,2006,5.351
Brunei Darussalam,2005,5.543
Brunei Darussalam,2004,5.412
Brunei Darussalam,2002,6.174
Brunei Darussalam,2000,3.921
Cambodia,2013,0.956
Cambodia,2012,0.92
Cambodia,2011,0.87
Cambodia,2010,0.853
Cambodia,2009,0.851
Cambodia,2008,0.842
Cambodia,2004,
Cambodia,2000,0.912
Cambodia,1998,1.004
Cambodia,1996,1.055
Indonesia,2012,1.365
Indonesia,2010,1.062
Indonesia,2009,0.815
Indonesia,2003,0.817
Indonesia,1993,
Indonesia,1992,0.626
Lao People's Democratic Republic,2012,0.862
Lao People's Democratic Republic,2009,0.865
Lao People's Democratic Republic,2005,0.996
Lao People's Democratic Republic,2004,0.99
Lao People's Democratic Republic,2000,1.021
Lao People's Democratic Republic,1995,1.254
Malaysia,2011,3.397
Malaysia,2010,3.208
Malaysia,2008,2.678
Malaysia,2007,
Malaysia,2002,1.778
Malaysia,2000,1.658
Myanmar,2012,0.93
Myanmar,2011,0.901
Myanmar,2010,0.874
Myanmar,2009,0.843
Myanmar,2008,0.812
Myanmar,2007,0.791
Myanmar,2006,0.77
Myanmar,2005,0.731
Myanmar,2004,
Philippines,2011,
Philippines,2004,5.774
Philippines,2002,5.916
Philippines,2000,2.073
Singapore,2013,5.649
Singapore,2012,5.55
Singapore,2011,5.194
Singapore,2010,5.777
Singapore,2009,5.396
Singapore,2008,4.992
Singapore,2007,4.719
Singapore,2006,4.535
Singapore,2005,4.486
Singapore,2004,4.418
Singapore,2003,
Singapore,2001,4.324
Singapore,1999,4.172
Thailand,2010,2.08
Thailand,2009,1.65
Thailand,2008,1.586
Thailand,2007,1.524
Thailand,2006,1.536
Thailand,2004,1.479
Thailand,2002,1.32
Thailand,2001,1.231
Thailand,1999,1.097
Thailand,1998,1.04
Thailand,1997,0.931
Thailand,1995,0.916
Thailand,1993,0.801
Thailand,1991,0.711
Viet Nam,2013,1.226
Viet Nam,2012,1.274
Viet Nam,2011,1.13
Viet Nam,2010,1.064
Viet Nam,2009,0.968
Viet Nam,2008,1.017
Viet Nam,2007,0.946
Viet Nam,2006,0.876
Viet Nam,2005,0.827
Viet Nam,2002,0.755
Viet Nam,2001,0.73
