Countries and areas,Reference year(s),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,2004-2014,9.8,9.5,9.2,9.5,9.5,8.2,7.2,10.0,10.3,9.7,8.7
Cambodia,2004-2014,,83.0,,,,,54.0,43.0,40.0,,
Indonesia ,2004-2014,,45.0,,,,,42.0,32.0,40.0,,
Lao's PDR,2004-2014,,97.6,93.0,88.6,84.4,80.4,76.4,79.0,68.4,64.3,
Malaysia ,2004-2014,,8.5,7.9,7.9,8.0,8.5,8.5,,9.0,,
Myanmar,2004-2014,,70.8,66.2,64.3,40.7,36.5,34.9,33.9,29.6,,
Philippines,2004-2014,40.0,34.0,32.0,,,,36.0,25.0,,,
Singapore,2004-2014,3.0,2.9,2.9,2.9,2.7,2.8,2.9,2.9,2.7,2.6,2.6
Thailand,2004-2014,11.3,10.8,10.4,10.0,9.9,9.8,9.8,9.0,9.0,9.0,
Viet Nam,2004-2014,26.8,24.1,24.1,22.5,24.1,23.8,23.3,23.2,23.1,22.4,
,,,,,,,,,,,,
,,,,,,,,,,,,
