Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunnei Darussalam,,,,,,,,,,,38.9,,,,,35.2,,,,,29.1,,,,
Cambodia,,,,,,,42.6,,,,39.5,,,,,28.4,,,28.8,,29,,,,
Indonesia,,,29.8,,,30.3,,,25.8,22.8,24.8,23.4,23,23.1,19.7,24.4,,19.6,,,18.6,,,19.9,
Lao PDR,,,,39.8,35.9,,,,,,36.4,,,,,,31.6,,,,,26.5,,,
Malaysia,22.1,23.1,22.6,20.5,19.7,17.7,,,,16.7,,,,,,,12.9,,,,,,,,
Myanmar,32.5,37,,,31.2,38.7,,28.1,,,30.1,,,29.6,,,,,,22.6,,,,,
Philippines,29.9,,29.8,26.3,,,,,28.3,,,,,20.7,,,,,20.7,,,20.2,,19.9,
Singapore,,,,,,,,,,,3.3,,,,,,,,,,,,,,
Thailand,,,,16.3,,15.4,,,,,,,,,,,7,,,,,,9.2,,
Viet Nam,,,,36.9,40.6,,,,35.8,31.1,26.7,,23.4,24.6,23.8,22.7,22.1,22.6,20.2,,17.5,12,,,
